,road_number,origin_address,destination_address,distance,watercrossing,origin_lat,origin_long,destination_lat,destination_long,origin_lat_rad,origin_long_rad,destination_lat_rad,destination_long_rad
0,E01,"Larne, United Kingdom","Belfast, United Kingdom",36,False,54.8508458,-5.8183116,54.5964411,-5.9302761,0.9573278567137031,-0.10154869432697931,0.9528876570661547,-0.1035028434973285
1,E01,"Porto, Portugal","Aveiro, Portugal",67,False,41.1494512,-8.6107884,40.640496,-8.6537841,0.7181934088287317,-0.1502866087725345,0.7093104648435854,-0.15103702530173418
2,E01,"Huelva, Spain","Sevilla, Spain",91,False,37.2575874,-6.9484945,37.3886303,-5.9953403,0.6502675714795535,-0.12127410708171713,0.6525547015459152,-0.10463842801250459
3,E01,"Vila Real de Santo António, Portugal","Huelva, Spain",62,False,37.1946052,-7.4155628,37.2575874,-6.9484945,0.649168324719404,-0.12942598674840977,0.6502675714795535,-0.12127410708171713
4,E01,"Faro, Portugal","Vila Real de Santo António, Portugal",57,False,37.0162727,-7.9351771,37.1946052,-7.4155628,0.6460558354310912,-0.1384949671238553,0.649168324719404,-0.12942598674840977
5,E01,"Coimbra, Portugal","Lisboa, Portugal",199,False,40.2111931,-8.4294632,38.7077507,-9.1365919,0.7018177157502254,-0.14712188701569728,0.6755776957561398,-0.1594636110660445
6,E01,"Aveiro, Portugal","Coimbra, Portugal",61,False,40.640496,-8.6537841,40.2111931,-8.4294632,0.7093104648435854,-0.15103702530173418,0.7018177157502254,-0.14712188701569728
7,E01,"Rosslare, Ireland","La Coruña, Spain",1002,True,52.2735675,-6.3869031,43.3712091,-8.3958768,0.9123458646385009,-0.11147248810083264,0.7569703993659267,-0.14653569375180545
8,E01,"Setúbal, Portugal","Faro, Portugal",262,False,38.5241783,-8.8932341,37.0162727,-7.9351771,0.6723737529603518,-0.15521621619563467,0.6460558354310912,-0.1384949671238553
9,E01,"Pontevedra, Spain","Valença do Minho, Portugal",57,False,42.6075172,-8.4714942,42.02453175,-8.636604069735451,0.7436414612401153,-0.147855466353603,0.7334664456463945,-0.15073717720802557
10,E01,"La Coruña, Spain","Pontevedra, Spain",128,False,43.3712091,-8.3958768,42.6075172,-8.4714942,0.7569703993659267,-0.14653569375180545,0.7436414612401153,-0.147855466353603
11,E01,"Wexford, Ireland","Rosslare, Ireland",19,False,52.46018745,-6.606515459159162,52.2735675,-6.3869031,0.9156029972159081,-0.11530544684623235,0.9123458646385009,-0.11147248810083264
12,E01,"Dublin, Ireland","Wexford, Ireland",140,False,53.3497645,-6.2602732,52.46018745,-6.606515459159162,0.9311290456885863,-0.10926237941436147,0.9156029972159081,-0.11530544684623235
13,E01,"Belfast, United Kingdom","Dublin, Ireland",165,False,54.5964411,-5.9302761,53.3497645,-6.2602732,0.9528876570661547,-0.1035028434973285,0.9311290456885863,-0.10926237941436147
14,E01,"Valença do Minho, Portugal","Porto, Portugal",115,False,42.02453175,-8.636604069735451,41.1494512,-8.6107884,0.7334664456463945,-0.15073717720802557,0.7181934088287317,-0.1502866087725345
15,E01,"Lisboa, Portugal","Setúbal, Portugal",46,False,38.7077507,-9.1365919,38.5241783,-8.8932341,0.6755776957561398,-0.1594636110660445,0.6723737529603518,-0.15521621619563467
16,E03,"Cherbourg, France","Rennes, France",205,False,49.51271975,-1.5755441090380597,48.1113387,-1.6800198,0.8641599812547237,-0.027498432213114692,0.8397012678571683,-0.029321877008696633
17,E03,"Rennes, France","Nantes, France",112,False,48.1113387,-1.6800198,47.2186371,-1.5541362,0.8397012678571683,-0.029321877008696633,0.824120685699347,-0.027124793714433097
18,E03,"Nantes, France","La Rochelle, France",143,False,47.2186371,-1.5541362,46.1591126,-1.1520434,0.824120685699347,-0.027124793714433097,0.8056284946688004,-0.020106950455870038
19,E04,"Luleå, Sweden","Haparanda, Sweden",134,False,65.5831187,22.1459535,65.833333,24.1,1.1446413550412633,0.38651980456856205,1.149008418411836,0.4206243497306334
20,E04,"Sundsvall, Sweden","Umeå, Sweden",281,False,62.3907552,17.3071024,63.8256568,20.2630745,1.0889241010457733,0.3020659208598127,1.1139678584079078,0.3536573666019037
21,E04,"Tornio, Finland","Kemi, Finland",33,False,65.8457589,24.1464,65.7333404,24.5666495,1.14922529127936,0.4214341825035588,1.1472632183142064,0.42876891995841865
22,E04,"Haparanda, Sweden","Tornio, Finland",6,False,65.833333,24.1,65.8457589,24.1464,1.149008418411836,0.4206243497306334,1.14922529127936,0.4214341825035588
23,E04,"Umeå, Sweden","Luleå, Sweden",274,False,63.8256568,20.2630745,65.5831187,22.1459535,1.1139678584079078,0.3536573666019037,1.1446413550412633,0.38651980456856205
24,E04,"Södertälje, Sweden","Stockholm, Sweden",32,False,59.1964289,17.6271663,59.3251172,18.0710935,1.033172589727725,0.30765208973158653,1.0354186242715193,0.3154000810107459
25,E04,"Norrköping, Sweden","Södertälje, Sweden",130,False,58.5909124,16.1903511,59.1964289,17.6271663,1.0226043331275727,0.2825749337488857,1.033172589727725,0.30765208973158653
26,E04,"Jönköping, Sweden","Norrköping, Sweden",170,False,57.7825634,14.165719,58.5909124,16.1903511,1.0084959815723693,0.2472384374623186,1.0226043331275727,0.2825749337488857
27,E04,"Stockholm, Sweden","Sundsvall, Sweden",387,False,59.3251172,18.0710935,62.3907552,17.3071024,1.0354186242715193,0.3154000810107459,1.0889241010457733,0.3020659208598127
28,E04,"Helsingborg, Sweden","Jönköping, Sweden",241,False,56.0441984,12.7040684,57.7825634,14.165719,0.978155788720938,0.22172782197856802,1.0084959815723693,0.2472384374623186
