,u,v
2138,747,152
2139,747,748
2140,747,222
2141,748,747
2142,748,749
2143,749,153
2144,749,748
2145,750,153
2146,750,751
2147,751,750
2148,752,194
2149,752,157
2150,753,504
2151,753,643
2152,754,640
2153,754,755
2154,755,504
2155,755,754
2156,756,127
2157,757,758
2158,758,757
2159,758,759
2160,759,261
2161,759,758
2162,760,761
2163,760,762
2164,761,576
2165,761,760
2166,762,760
2167,762,763
2168,763,762
2169,763,362
2170,764,765
2171,764,283
2172,764,213
2173,765,764
2174,765,279
2175,766,341
2176,767,232
2177,767,109
2178,768,232
2179,769,149
2180,769,174
2181,770,294
2182,771,875
2183,771,109
2184,772,363
2185,772,554
2186,772,555
2187,772,509
2188,773,363
2189,774,283
2190,774,366
2191,775,182
2192,776,879
2193,777,329
2194,777,779
2195,778,328
2196,778,779
2197,779,777
2198,779,778
2199,780,408
2200,780,329
2201,781,425
2202,781,782
2203,782,781
2204,782,366
2205,783,784
2206,783,785
2207,784,416
2208,784,783
2209,785,478
2210,785,783
2211,786,787
2212,786,654
2213,787,786
2214,787,427
2215,788,789
2216,788,718
2217,789,788
2218,789,790
2219,790,789
2220,790,791
2221,791,651
2222,791,790
2223,792,882
2224,792,653
2225,793,794
2226,794,793
2227,794,18
2228,794,795
2229,795,794
2230,795,796
2231,796,35
2232,796,795
2233,796,68
2234,797,883
2235,798,799
2236,798,327
2237,799,397
2238,799,798
2239,800,412
2240,801,440
2241,801,499
2242,802,809
2243,803,804
2244,803,805
2245,804,803
2246,804,807
2247,805,803
2248,805,806
2249,806,808
2250,806,538
2251,806,805
2252,807,809
2253,807,804
2254,808,806
2255,808,543
2256,809,802
2257,809,807
2258,810,545
2259,810,811
2260,811,810
2261,812,511
2262,813,885
2263,814,487
2264,814,887
2265,815,816
2266,815,494
2267,815,543
2268,816,817
2269,816,815
2270,817,816
2271,817,818
2272,817,523
2273,817,822
2274,818,817
2275,818,820
2276,819,820
2277,819,821
2278,820,818
2279,820,819
2280,821,888
2281,821,819
2282,822,817
2283,822,497
2284,823,647
2285,824,889
2286,824,628
2287,824,830
2288,825,826
2289,825,831
2290,825,615
2291,826,825
2292,826,691
2293,827,890
2294,827,691
2295,828,618
2296,828,30
2297,829,688
2298,829,517
2299,830,824
2300,831,832
2301,831,825
2302,832,831
2303,833,834
2304,833,315
2305,833,319
2306,834,833
2307,834,387
2308,835,702
2309,836,697
2310,836,307
2311,837,693
2312,838,838
2313,838,839
2314,838,494
2315,838,495
2316,838,469
2317,838,699
2318,839,609
2319,839,838
2320,840,586
2321,840,566
2322,841,842
2323,842,841
2324,842,891
2325,843,681
2326,843,311
2327,844,699
2328,844,845
2329,845,844
2330,845,399
2331,846,847
2332,847,848
2333,847,846
2334,848,849
2335,848,847
2336,849,848
2337,849,459
2338,850,893
2339,850,462
2340,851,894
2341,852,93
2342,852,29
2343,853,73
2344,854,197
2345,855,202
2346,856,229
2347,857,203
2348,858,312
2349,858,686
2350,859,500
2351,860,559
2352,861,568
2353,862,617
2354,862,743
2355,863,453
2356,863,621
2357,864,629
2358,865,454
2359,866,670
2360,867,694
2361,868,729
2362,868,710
2363,869,714
2364,870,516
2365,871,737
2366,872,745
2367,873,746
2368,874,153
2369,875,771
2370,876,371
2371,877,435
2372,878,246
2373,879,776
2374,880,354
2375,881,359
2376,882,792
2377,883,797
2378,884,89
2379,885,89
2380,885,813
2381,886,90
2382,886,515
2383,887,814
2384,888,821
2385,889,824
2386,890,827
2387,891,842
2388,892,684
2389,893,850
2390,894,851
