,u,v
532,172,174
533,173,547
534,173,453
535,173,622
536,173,187
537,173,445
538,174,185
539,174,172
540,174,293
541,174,769
542,175,176
543,175,186
544,175,191
545,176,177
546,176,175
547,177,515
548,177,176
549,177,178
550,177,150
551,177,446
552,178,177
553,178,163
554,178,179
555,178,190
556,179,178
557,179,180
558,179,189
559,179,190
560,180,179
561,180,181
562,180,247
563,181,180
564,181,182
565,181,246
566,181,378
567,181,284
568,182,775
569,182,181
570,182,183
571,182,379
572,182,189
573,183,184
574,183,182
575,183,375
576,184,149
577,184,183
578,185,196
579,185,197
580,185,292
581,185,174
582,185,305
583,185,306
584,185,149
585,186,187
586,186,453
587,186,175
588,187,186
589,187,173
590,188,128
591,188,129
592,188,216
593,189,179
594,189,164
595,189,182
596,190,442
597,190,178
598,190,179
599,190,191
600,191,190
601,191,175
602,192,193
603,192,551
604,193,192
605,193,195
606,193,472
607,194,195
608,194,752
609,194,372
610,194,215
611,194,154
612,194,156
613,194,254
614,194,223
615,195,193
616,195,194
617,195,215
618,196,227
619,196,249
620,196,230
621,196,261
622,196,234
623,196,235
624,196,268
625,196,185
626,197,369
627,197,306
628,197,149
629,197,854
630,197,185
631,198,85
632,198,199
633,199,200
634,199,198
635,200,205
636,200,199
637,201,144
638,201,204
639,202,208
640,202,855
641,203,224
642,203,857
643,203,85
644,204,201
645,204,12
646,205,200
647,205,206
648,206,11
649,206,205
650,207,550
651,207,278
652,207,214
653,207,215
654,208,209
655,208,202
656,209,736
657,209,715
658,209,208
659,209,210
660,209,725
661,210,209
662,210,211
663,211,210
664,211,643
665,211,212
666,211,717
667,212,211
668,212,213
669,213,576
670,213,212
671,213,214
672,213,505
673,213,506
674,213,764
675,213,573
676,214,213
677,214,207
678,215,473
679,215,194
680,215,195
681,215,207
682,216,224
683,216,188
684,217,218
685,217,223
686,218,321
687,218,217
688,218,154
689,218,219
690,219,218
691,219,235
692,219,220
693,220,153
694,220,219
695,220,221
696,220,235
697,221,220
698,221,222
699,222,130
700,222,747
701,222,221
702,222,167
703,223,352
704,223,217
705,223,194
706,224,216
707,224,203
708,224,165
709,225,128
710,225,226
